"male","hh_ID","rooms","males_tot","age","ppl_total","num_child","bedrooms","dependency_rate","computer","disabled_ppl","water_inside","years_of_schooling","Target"
"1","21eb7fcc1",3,1,43,1,0,1,30,"0","0","1",10,"4"
"1","0e5d7a658",4,1,67,1,0,1,29,"0","0","1",12,"4"
"0","2c7317ea8",8,0,92,1,0,2,29,"0","1","1",11,"4"
"1","2b58d945f",5,2,17,4,2,3,31,"0","0","1",9,"4"
"0","2b58d945f",5,2,37,4,2,3,31,"0","0","1",11,"4"
"1","2b58d945f",5,2,38,4,2,3,31,"0","0","1",11,"4"
"0","2b58d945f",5,2,8,4,2,3,31,"0","0","1",2,"4"
"0","d6dae86b7",2,1,7,4,2,1,31,"0","0","1",0,"4"
"1","d6dae86b7",2,1,30,4,2,1,31,"0","0","1",9,"4"
"0","d6dae86b7",2,1,28,4,2,1,31,"0","0","1",11,"4"
"0","d6dae86b7",2,1,11,4,2,1,31,"0","0","1",3,"4"
"0","bb2094100",3,0,18,2,1,2,31,"0","0","1",12,"4"
"0","bb2094100",3,0,34,2,1,2,31,"0","0","1",11,"4"
"0","c51f9c774",4,1,79,2,0,2,31,"0","0","1",4,"4"
"1","c51f9c774",4,1,39,2,0,2,31,"0","0","1",15,"4"
"1","6893e65ca",2,2,19,4,2,1,24,"0","0","1",11,"4"
"1","6893e65ca",2,2,70,4,2,1,24,"0","0","1",2,"4"
"0","6893e65ca",2,2,19,4,2,1,24,"0","0","1",11,"4"
"0","6893e65ca",2,2,50,4,2,1,24,"0","0","1",10,"4"
"0","d29058053",4,1,22,2,0,2,30,"0","0","1",12,"4"
"1","d29058053",4,1,26,2,0,2,30,"0","0","1",15,"4"
"1","ec0e8edce",3,1,69,2,0,1,29,"0","0","1",4,"4"
"0","ec0e8edce",3,1,66,2,0,1,29,"0","0","1",16,"4"
"1","3e16fab89",1,2,41,3,0,1,30,"0","0","0",6,"4"
"1","3e16fab89",1,2,20,3,0,1,30,"0","0","0",13,"4"
"0","3e16fab89",1,2,40,3,0,1,30,"0","0","0",12,"4"
"1","1e84a2ac8",5,1,44,1,0,2,30,"0","0","1",15,"4"
"1","759df0194",4,2,69,3,0,2,8,"0","0","1",6,"4"
"0","759df0194",4,2,62,3,0,2,8,"0","0","1",6,"4"
"1","759df0194",4,2,33,3,0,2,8,"0","0","1",8,"4"
"1","f2fcf00fd",5,1,35,2,0,2,30,"0","0","1",8,"4"
"0","f2fcf00fd",5,1,28,2,0,2,30,"0","0","1",11,"4"
"1","cb6bb28dd",5,4,28,5,1,3,4,"0","0","1",1,"4"
"1","cb6bb28dd",5,4,56,5,1,3,4,"0","0","1",11,"4"
"1","cb6bb28dd",5,4,30,5,1,3,4,"0","0","1",6,"4"
"1","cb6bb28dd",5,4,19,5,1,3,4,"0","0","1",0,"4"
"0","cb6bb28dd",5,4,52,5,1,3,4,"0","0","1",3,"4"
"0","cbf24a06c",4,2,36,3,1,2,8,"0","0","1",6,"4"
"1","cbf24a06c",4,2,15,3,1,2,8,"0","0","1",8,"4"
"1","cbf24a06c",4,2,37,3,1,2,8,"0","0","1",8,"4"
"0","922a1f87a",5,1,44,2,0,2,30,"0","0","1",9,"4"
"1","922a1f87a",5,1,24,2,0,2,30,"0","0","1",13,"4"
"1","a57a1f2f4",8,2,15,3,1,3,21,"1","0","1",8,"4"
