Date,Stone,Pounds,Ounces,weight_oz,calories,cals_per_oz,five_donuts,walk,run,wine,prot,weight,change,id
7/30/2018,12,2,6,2726,1950,0.72,1,1,0,0,0,0,-30,1
7/31/2018,12,0,8,2696,2600,0.96,1,0,0,0,0,0,8,2
8/1/2018,12,1,0,2704,2500,0.92,1,1,0,0,0,0,0,3
8/2/2018,12,1,0,2704,1850,0.68,1,1,0,1,0,0,-40,4
8/3/2018,11,12,8,2664,2900,1.09,1,1,0,0,0,0,14,5
8/4/2018,11,13,6,2678,3600,1.34,0,0,0,0,0,0,14,6
8/5/2018,12,0,4,2692,2400,0.89,0,0,0,0,0,0,-2,7
8/6/2018,12,0,2,2690,3100,1.15,1,1,0,0,0,0,6,8
8/7/2018,12,0,8,2696,2200,0.82,1,1,0,0,0,0,-8,9
8/8/2018,12,0,0,2688,1800,0.67,1,1,0,0,0,0,-40,10
8/9/2018,11,11,8,2648,2300,0.87,1,1,0,1,0,0,-18,11
8/10/2018,11,10,6,2630,3000,1.14,1,1,0,1,0,0,12,12
8/11/2018,11,11,2,2642,4000,1.51,0,0,0,1,0,0,34,13
8/12/2018,11,13,4,2676,2800,1.05,0,1,0,1,0,0,-12,14
8/13/2018,11,12,8,2664,2300,0.86,1,1,0,0,0,0,-2,15
8/14/2018,11,12,6,2662,2400,0.9,1,1,0,0,0,0,-4,16
8/15/2018,11,12,2,2658,2100,0.79,1,1,0,0,0,0,-10,17
8/16/2018,11,11,8,2648,2450,0.93,1,1,0,0,0,0,10,18
8/17/2018,11,12,2,2658,3400,1.28,1,1,0,1,0,0,22,19
8/18/2018,11,13,8,2680,3600,1.34,0,0,1,1,0,0,14,20
8/19/2018,12,0,6,2694,4200,1.56,0,0,0,1,0,0,16,21
8/20/2018,12,1,6,2710,2000,0.74,0,1,0,0,0,0,-18,22
8/21/2018,12,0,4,2692,2150,0.8,0,1,0,0,0,0,-20,23
8/22/2018,11,13,0,2672,2300,0.86,1,1,1,0,0,0,-26,24
8/23/2018,11,11,6,2646,2800,1.06,1,0,0,0,0,0,2,25
8/24/2018,11,11,8,2648,2000,0.76,1,0,0,0,0,0,-6,26
8/25/2018,11,11,2,2642,4150,1.57,0,0,0,0,0,0,18,27
8/26/2018,11,12,4,2660,5400,2.03,0,1,0,1,0,0,46,28
